Balland Field,6,2004-06-01,S/1219/04/F,Conservatory,,A,2004-06-29,11
Balland Field,6,2000-05-01,S/0855/00/F,Extension,,N,,
Balland Field,8,2007-05-01,S/0871/07/F,Extension,,N,2007-05-22,iv
Balland Field,14,2000-04-01,S/0691/00/F,Extension,,N,,
Balland Field,17,2007-04-01,S/0365/07/F,Conservatory,,A,2007-04-02,6ii
Balland Field,32,2002-05-01,S/1012/02/F,Conservatory,,A,,
Balland Field,33,2011-09-01,S/1789/11/,Extension,,A,2011-09-27,6iii
Balland Field,37,2002-09-01,S/1792/02/F,Extension,,A,,
Balland Field,60,2001-07-01,S/1340/01/F,Extension,,R,,
Balland Field,62,2000-04-01,S/0690/00/F,Extension,,R,,
Balland Field,68,2002-05-01,S/0974/02/F,Extension,,A,,
Balland Field,75,1999-05-01,S/0734/99/F,Extension,,N,,
Balland Field,78,1999-12-01,S/1992/99/F,Extension,,N,,
Balland Field,87,2006-10-01,S/1853/06/F,Extension,,R,2006-10-23,7i
Balland Field,101,2002-06-01,S/1209/02/F,Extension,,N,,
Balland Field,104,2002-02-01,S/0259/02/F,Extension,,A,,
Balland Field,110,2004-06-01,S/1280/04/F,Extension,,A,2004-07-15,2
Balland Field,112,2002-05-01,S/0920/02/F,Conservatory,,A,,
Balland Field,115,2010-02-01,S/1953/09/F,Extension,,A,2010-02-01,7ii
Balland Field,121,2005-10-01,S/1784/05/F,Extension,,A,2005-10-18,6i
Balland Field,129,2005-10-01,S/1906/05/F,Extension,,R,2005-10-18,6viii
Berrycroft,7,2009-02-01,S/0083/09/O,Dwelling,,A,2009-02-23,7i
Berrycroft,7,2010-09-01,S/1348/10/O,Dwelling,,N,2010-09-15,7ii
Berrycroft,7,2011-07-01,S/1276/11/,Dwelling,,A,2011-07-28,6iii
Berrycroft,16,2007-10-01,S/1784/07/F,Change of Use,,R,2007-10-04,6iii
Berrycroft,17,2005-08-01,S/1462/05/F,Extension,,A,2005-08-17,4ii
Berrycroft,18,2000-04-01,S/0631/00/F,Change of Use,,R,,
Berrycroft,27,2007-10-01,S/1830/07/L,Alteration,Alterations to LB,A,2007-10-29,7i
Berrycroft,27,2002-01-01,S/0096/02/F,Outbuilding,Carport and Store,N,,
Berrycroft,,1999-10-01,S/1618/99/F,Change of Use,,R,,
Berrycroft,,2001-09-01,S/1702/01/F,Change of Use,,A,,
Berrycroft,,2000-10-01,S/1933/00/F,Development,,N,,
Berrycroft,,2004-07-01,S/2238/03/F,Section 106,,A,2004-07-01,1
Bourneys Manor Close,26,2006-08-01,S/1596/06/F,Conservatory,,A,2006-08-21,6iv
Bourneys Manor Close,62,2012-11-01,S/2319/12/F,Conversion,Loft,N,2012-11-27,6ii
Bourneys Manor Close,64,2009-08-01,S/0986/09/F,Extension,,A,2009-08-17,7i
Brickhills,42,2001-09-01,S/1789/01/F,Change to Parking,Change to Parking,R,,
Brickhills,45,2000-10-01,S/1982/00/F,Alteration,,A,,
Brickhills,47,2002-03-01,S/0626/02/F,Conservatory,,A,,
Brickhills,57,2011-04-01,S/0733/11/,Major Development,,R,2011-04-27,9i
Brickhills,64,2004-03-01,S/0647/04/F,Extension,,A,,
Brickhills,,2010-03-01,S/0014/10/F,Amendment,,R,2010-03-22,7i
Brickhills,,2010-02-01,S/0014/10/F,Major Development,,R,2010-02-01,7iii
Church Lane,11,2012-11-01,S/2331/12/F,Extension,,A,2012-11-27,6v
Church Lane,,2005-05-01,S/0898/05/L,Cemetery,Wall,A,2005-05-19,3f
Church Lane,,2005-05-01,S/0899/05/F,Cemetery,Wall,A,2005-05-19,3g
Church Street,1,2006-10-01,S/1858/06/F,Roof,Solar Panels,A,2006-10-23,7ii
Church Street,1,2007-06-01,S/0932/07/F,Roof,Solar Panels,A,2007-06-15,7i
